epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,11648.7,1.12732,1.3006,1.20549,0.59999,0.46387,0.4993,0.35513,1.13227,1.21266,1.16919,0.000201611,0.000201611,0.000201611
73,12811.7,1.12546,1.29686,1.20408,0.59401,0.46773,0.49946,0.35554,1.13191,1.2122,1.16891,0.000189475,0.000189475,0.000189475
74,13978.4,1.12497,1.29437,1.20447,0.59745,0.46579,0.49985,0.35554,1.13108,1.2121,1.16795,0.000177651,0.000177651,0.000177651
75,15145.6,1.12521,1.29523,1.20372,0.60175,0.46261,0.49972,0.35533,1.13122,1.2118,1.16831,0.000166149,0.000166149,0.000166149
76,16311.7,1.12606,1.29272,1.20325,0.59844,0.46523,0.50041,0.35566,1.13102,1.21135,1.16801,0.000154982,0.000154982,0.000154982
77,17480.4,1.12439,1.29225,1.20228,0.59782,0.46395,0.50052,0.35594,1.13069,1.21152,1.16766,0.000144161,0.000144161,0.000144161
78,18650,1.12308,1.28901,1.20196,0.59729,0.46414,0.50071,0.35604,1.13032,1.21113,1.16737,0.000133695,0.000133695,0.000133695
79,19820,1.12384,1.28703,1.20205,0.60421,0.46061,0.50134,0.35636,1.12983,1.21078,1.16692,0.000123596,0.000123596,0.000123596
80,20988.4,1.12304,1.29099,1.20252,0.60574,0.46042,0.50136,0.35635,1.12942,1.21056,1.16667,0.000113873,0.000113873,0.000113873
81,22157.9,1.12351,1.29103,1.20239,0.60168,0.46145,0.50132,0.35617,1.12922,1.21033,1.16668,0.000104537,0.000104537,0.000104537
82,23326.5,1.12423,1.2886,1.20232,0.60292,0.4613,0.50159,0.35649,1.12904,1.2103,1.16652,9.55951e-05,9.55951e-05,9.55951e-05
83,24495.2,1.12294,1.28944,1.20284,0.60424,0.46187,0.50178,0.35644,1.12892,1.21027,1.16635,8.70577e-05,8.70577e-05,8.70577e-05
84,25662.5,1.12358,1.28986,1.20305,0.60175,0.46367,0.50193,0.35659,1.129,1.21024,1.16642,7.89327e-05,7.89327e-05,7.89327e-05
85,26832.1,1.12337,1.28922,1.20275,0.6021,0.4647,0.50228,0.3569,1.12877,1.20973,1.16617,7.12282e-05,7.12282e-05,7.12282e-05
86,28001.3,1.12255,1.28585,1.20161,0.60193,0.46443,0.50235,0.35718,1.12861,1.20944,1.16593,6.39518e-05,6.39518e-05,6.39518e-05
87,29188.1,1.12136,1.28533,1.20119,0.60354,0.46425,0.50239,0.35724,1.1283,1.20928,1.16549,5.71106e-05,5.71106e-05,5.71106e-05
